OtsuT,KittlerT,LloydT,SungT,RidlerT,HuangT,RameshT,Li1T,Li2T,BrinkT,KapurT,SahooT,ShanbhagT,YenT,TsaiT
0.696078,0.668627,0.602256,0.703922,0.697729,0.703922,0.394118,0.694328,0.696078,0.535294,0.805882,0.72646,0.817647,0.703922,0.735294
0.64902,0.613725,0.537052,0.656863,0.650892,0.652941,0.354902,0.64676,0.645098,0.492157,0.770588,0.685793,0.790196,0.660784,0.696078
0.605882,0.566667,0.482192,0.613725,0.609624,0.601961,0.347059,0.603441,0.605882,0.452941,0.739216,0.645326,0.762745,0.617647,0.660784
0.566667,0.519608,0.430835,0.57451,0.572179,0.558824,0.323529,0.563928,0.562745,0.42549,0.707843,0.607874,0.743137,0.578431,0.62549
0.531373,0.472549,0.379624,0.535294,0.533191,0.535294,0.311765,0.527611,0.527451,0.401961,0.680392,0.676575,0.719608,0.680392,0.594118
0.464706,0.782353,0.113725,0.468627,0.470358,0.464706,0.35098,0.458616,0.460784,0.378431,0.62549,0.62549,0.398039,0.62549,0.535294
0.437255,0.758824,0.098039,0.437255,0.438724,0.433333,0.652941,0.430011,0.433333,0.37451,0.598039,0.598039,0.676471,0.598039,0.507843
0.409804,0.739216,0.082353,0.409804,0.411747,0.401961,0.637255,0.402582,0.405882,0.370588,0.578431,0.574611,0.664706,0.578431,0.484314
0.386275,0.715686,0.070588,0.386275,0.387915,0.386275,0.617647,0.376416,0.382353,0.366667,0.55098,0.55098,0.656863,0.55098,0.464706
0.362745,0.692157,0.058824,0.358824,0.363774,0.366667,0.598039,0.3526,0.354902,0.366667,0.531373,0.527553,0.652941,0.531373,0.441176
0.339216,0.668627,0.05098,0.339216,0.343251,0.335294,0.586275,0.331824,0.335294,0.362745,0.507843,0.507843,0.645098,0.507843,0.42549
0.319608,0.64902,0.043137,0.319608,0.324379,0.3,0.570588,0.311943,0.315686,0.362745,0.488235,0.488235,0.633333,0.488235,0.405882
0.303922,0.62549,0.035294,0.3,0.305301,0.284314,0.558824,0.292794,0.296078,0.362745,0.468627,0.468627,0.629412,0.468627,0.386275
