Valoare pixel,Clasa pixel,Average threshold,Midrange threshold,White threshold,Bernsen threshold,Niblack threshold,Sauvola threshold,Wolf threshold,Phansalkar threshold,Nick threshold,Gaussian threshold
0.94902,0,0.854136,0.317824,0.427068,0.317824,0.818982,0.576611,0.427068,0.716,0.679753,0.814751
0.952941,0,0.93184,0.268243,0.46592,0.268243,0.915314,0.542618,0.46592,0.737546,0.744889,0.943497
0.847059,0,0.848153,0.274079,0.424076,0.274079,0.826072,0.517351,0.424076,0.683286,0.677115,0.856674
0.803922,0,0.806377,0.018554,0.403188,0.5,0.804207,0.411902,0.403188,0.609664,0.64531,0.808516
0.964706,0,0.968817,0.021622,0.484409,0.5,0.966372,0.496208,0.484409,0.732656,0.775374,0.967365
0.929412,0,0.833444,0.293572,0.416722,0.293572,0.800247,0.554518,0.416722,0.694652,0.663548,0.830269
0.913725,0,0.912314,0.026859,0.456157,0.5,0.909222,0.470204,0.456157,0.691486,0.730231,0.912914
0.870588,0,0.752317,0.282953,0.376158,0.282953,0.708172,0.541567,0.376158,0.648079,0.595761,0.769554
0.878431,0,0.789803,0.299,0.394902,0.299,0.756067,0.527606,0.394902,0.659552,0.628303,0.799314
0.839216,0,0.796423,0.27501,0.398212,0.27501,0.763433,0.52907,0.398212,0.663557,0.633786,0.768299
0.831373,0,0.778142,0.305367,0.389071,0.305367,0.74221,0.528326,0.389071,0.654157,0.618443,0.832774
0.862745,0,0.766419,0.265836,0.38321,0.265836,0.727071,0.533408,0.38321,0.650928,0.608196,0.83251
0.823529,0,0.824628,0.315094,0.412314,0.315094,0.790944,0.550653,0.412314,0.688344,0.656372,0.791234
0.94902,0,0.96012,0.033441,0.48006,0.033441,0.956904,0.495438,0.48006,0.727939,0.768117,0.960608
0.901961,0,0.954506,0.049635,0.477253,0.049635,0.950885,0.494468,0.477253,0.724658,0.763622,0.952725
0.843137,0,0.851203,0.027151,0.425602,0.5,0.848503,0.43705,0.425602,0.644491,0.680983,0.846916
0.968627,0,0.937026,0.035609,0.468513,0.035609,0.933243,0.486171,0.468513,0.711793,0.74968,0.942765
0.92549,0,0.82998,0.307497,0.41499,0.307497,0.79381,0.564503,0.41499,0.697947,0.660114,0.878688
0.807843,0,0.794557,0.01677,0.397279,0.5,0.792637,0.404878,0.397279,0.600295,0.635665,0.795469
0.890196,0,0.791434,0.282914,0.395717,0.282914,0.752117,0.550695,0.395717,0.671947,0.628372,0.83744
0.905882,0,0.869325,0.272303,0.434662,0.272303,0.839129,0.5654,0.434662,0.717911,0.692914,0.829927
0.917647,0,0.822961,0.309381,0.411481,0.309381,0.783747,0.57221,0.411481,0.69834,0.653798,0.892076
0.909804,0,0.908085,0.074118,0.454042,0.074118,0.90238,0.479844,0.454042,0.694222,0.726523,0.912125
0.815686,0,0.815997,0.112518,0.407998,0.112518,0.812453,0.4224,0.407998,0.619693,0.652796,0.818267
0.952941,0,0.958876,0.037363,0.479438,0.037363,0.95555,0.495322,0.479438,0.727261,0.767129,0.959418
0.835294,0,0.811024,0.260131,0.405512,0.260131,0.794445,0.472482,0.405512,0.642372,0.648103,0.827291
0.92549,0,0.81385,0.265267,0.406925,0.265267,0.779698,0.545357,0.406925,0.68035,0.647619,0.849954
0.756863,0,0.700566,0.274625,0.350283,0.274625,0.669129,0.459971,0.350283,0.581754,0.556998,0.645999
0.835294,0,0.776123,0.29341,0.388062,0.29341,0.74299,0.516137,0.388062,0.647042,0.617427,0.780726
0.894118,0,0.902613,0.039416,0.451307,0.039416,0.89858,0.469437,0.451307,0.686278,0.72219,0.90468
0.937255,0,0.944608,0.040062,0.472304,0.040062,0.940844,0.490014,0.472304,0.717495,0.755736,0.944569
0.92549,0,0.947575,0.079777,0.473788,0.079777,0.942932,0.495698,0.473788,0.721825,0.758102,0.951344
0.964706,0,0.966948,0.032949,0.483474,0.032949,0.963699,0.499121,0.483474,0.733187,0.773588,0.964424
0.858824,0,0.812404,0.294271,0.406202,0.294271,0.780203,0.536491,0.406202,0.675184,0.646858,0.812559
0.65098,0,0.663104,0.290742,0.331552,0.290742,0.629142,0.443712,0.331552,0.555377,0.526256,0.683752
0.870588,0,0.876252,0.060123,0.438126,0.060123,0.87107,0.460741,0.438126,0.668815,0.701091,0.878776
0.870588,0,0.875661,0.076801,0.437831,0.076801,0.870101,0.462082,0.437831,0.669195,0.700505,0.878414
0.941176,0,0.900297,0.284398,0.450149,0.284398,0.872632,0.574198,0.450149,0.737713,0.718165,0.848153
0.945098,0,0.877533,0.307113,0.438766,0.307113,0.845295,0.579664,0.438766,0.729146,0.699119,0.910368
0.784314,0,0.685703,0.303852,0.342852,0.303852,0.648782,0.46894,0.342852,0.579012,0.543749,0.6692
0.87451,0,0.809479,0.276363,0.404739,0.276363,0.771861,0.556402,0.404739,0.683732,0.643334,0.786326
0.776471,0,0.705374,0.277486,0.352687,0.277486,0.666826,0.488113,0.352687,0.598228,0.559145,0.722883
0.823529,0,0.820891,0.035702,0.410445,0.035702,0.817507,0.424282,0.410445,0.623061,0.656722,0.820295
0.976471,0,0.955831,0.036386,0.477916,0.036386,0.952325,0.494607,0.477916,0.725387,0.76467,0.958146
0.898039,0,0.816615,0.269627,0.408308,0.269627,0.779272,0.560186,0.408308,0.689163,0.649151,0.746225
0.8,0,0.813993,0.028474,0.406996,0.5,0.810785,0.42,0.406996,0.617496,0.651229,0.808657
0.894118,0,0.881425,0.036217,0.440713,0.036217,0.878037,0.455586,0.440713,0.668797,0.705151,0.879589
0.862745,0,0.854554,0.010819,0.427277,0.5,0.853011,0.433844,0.427277,0.644544,0.683873,0.858884
0.945098,0,0.897503,0.28,0.448751,0.28,0.866928,0.585419,0.448751,0.741956,0.715498,0.948732
0.882353,0,0.735157,0.303076,0.367578,0.303076,0.690806,0.529966,0.367578,0.633823,0.581715,0.696027
0.921569,0,0.915116,0.264683,0.457558,0.264683,0.89923,0.529962,0.457558,0.722875,0.731657,0.92263
0.835294,0,0.764011,0.265406,0.382005,0.265406,0.731402,0.506085,0.382005,0.636026,0.607812,0.748889
0.901961,0,0.89329,0.273341,0.446645,0.273341,0.865754,0.569156,0.446645,0.731699,0.71257,0.917828
0.862745,0,0.839972,0.270581,0.419986,0.270581,0.819521,0.505539,0.419986,0.673301,0.670895,0.858379
0.8,0,0.806456,0.027889,0.403228,0.5,0.804004,0.413075,0.403228,0.610292,0.645329,0.810004
0.705882,0,0.679888,0.298378,0.339944,0.298378,0.644458,0.459915,0.339944,0.571653,0.539396,0.723203
0.835294,0,0.819301,0.288358,0.40965,0.288358,0.796852,0.501253,0.40965,0.66091,0.653937,0.8326
0.862745,0,0.856004,0.037547,0.428002,0.037547,0.852615,0.442449,0.428002,0.649583,0.684848,0.857157
0.831373,0,0.836029,0.029573,0.418015,0.029573,0.83425,0.425423,0.418015,0.631132,0.668842,0.83688
